# Height [m];Temperature [K];Wind Speed [m/s];Relative Humidity [%]
2.269076305220883683e+01;2.847051539491297945e+02;2.395444957232811589e+00;7.086211512717537175e+01
2.279116465863453911e+01;2.847034805890227176e+02;2.397038058163273977e+00;7.086629852744310654e+01
2.289156626506024139e+01;2.847018072289155839e+02;2.398624165615023784e+00;7.087048192771084132e+01
2.299196787148594368e+01;2.847001338688085070e+02;2.400203340720482803e+00;7.087466532797859031e+01
2.309236947791164596e+01;2.846984605087014302e+02;2.401775643813987227e+00;7.087884872824632509e+01
2.319277108433734824e+01;2.846967871485942965e+02;2.403341134445627247e+00;7.088303212851405988e+01
2.329317269076305053e+01;2.846951137884872196e+02;2.404899871394770461e+00;7.088721552878179466e+01
2.339357429718875636e+01;2.846934404283801427e+02;2.406451912683313044e+00;7.089139892904952944e+01
2.349397590361445864e+01;2.846917670682730659e+02;2.407997315588634724e+00;7.089558232931727844e+01
2.359437751004016093e+01;2.846900937081659322e+02;2.409536136656283745e+00;7.089976572958501322e+01
2.369477911646586321e+01;2.846884203480588553e+02;2.411068431712392268e+00;7.090394912985274800e+01
2.379518072289156549e+01;2.846867469879517785e+02;2.412594255875826210e+00;7.090813253012048278e+01
2.389558232931726778e+01;2.846850736278446448e+02;2.414113663570085055e+00;7.091231593038821757e+01
2.399598393574297006e+01;2.846834002677375679e+02;2.415626708534948097e+00;7.091649933065596656e+01
2.409638554216867590e+01;2.846817269076304910e+02;2.417133443837880868e+00;7.092068273092370134e+01
2.419678714859437818e+01;2.846800535475233573e+02;2.418633921885199989e+00;7.092486613119143612e+01
2.429718875502008046e+01;2.846783801874162805e+02;2.420128194433015523e+00;7.092904953145917091e+01
2.439759036144578275e+01;2.846767068273092036e+02;2.421616312597937526e+00;7.093323293172690569e+01
2.449799196787148503e+01;2.846750334672020699e+02;2.423098326867572982e+00;7.093741633199465468e+01
2.459839357429719087e+01;2.846733601070949931e+02;2.424574287110800697e+00;7.094159973226238947e+01
2.469879518072289315e+01;2.846716867469879162e+02;2.426044242587840127e+00;7.094578313253012425e+01
