# Range [m];Height [m];Real(p) [Pa];Imag(p) [Pa]
1.000000000000000000e+04;1.706364577430007557e+03;5.358506684007514551e-04;3.382211341831252091e-04
1.000000000000000000e+04;1.746047472144440007e+03;5.745909931319825078e-04;3.063398635988383105e-04
1.000000000000000000e+04;1.785730363141787620e+03;5.797771642041918720e-04;2.592278748331477674e-04
1.000000000000000000e+04;1.825413213607865146e+03;6.126029004744767362e-04;2.242056409512458261e-04
1.000000000000000000e+04;1.865096154266117765e+03;6.136550499092484519e-04;1.715571548115174170e-04
1.000000000000000000e+04;1.904779063548308159e+03;6.422783128730293837e-04;1.280036885453441004e-04
1.000000000000000000e+04;1.944461960402110890e+03;6.337705193525638558e-04;7.669801421231233342e-05
1.000000000000000000e+04;1.984144856404825987e+03;6.536487823863297141e-04;2.821490741865187769e-05
1.000000000000000000e+04;2.023827752243917075e+03;6.396706860207028705e-04;-2.414196375227284293e-05
1.000000000000000000e+04;2.063510648021444922e+03;6.519953286614435951e-04;-7.527572862339808020e-05
1.000000000000000000e+04;2.103193541864701274e+03;6.279020831492993556e-04;-1.273412180036669842e-04
1.000000000000000000e+04;2.142876433637073660e+03;6.310441701643225041e-04;-1.858923111132830324e-04
1.000000000000000000e+04;2.182559325807047571e+03;5.986760384937058616e-04;-2.310017398535143835e-04
1.000000000000000000e+04;2.222242199111197351e+03;5.904751058577521706e-04;-2.863796932339353883e-04
1.000000000000000000e+04;2.261974170282373507e+03;5.504061078983541258e-04;-3.311880351912977393e-04
1.000000000000000000e+04;2.301274081658771138e+03;5.332341783656085760e-04;-3.885284114356978122e-04
1.000000000000000000e+04;2.301691711955010305e+03;5.328546414969446803e-04;-3.890056784750887671e-04
1.000000000000000000e+04;2.302115509499399195e+03;5.327343886840357886e-04;-3.896471537751084423e-04
1.000000000000000000e+04;2.341362993228632604e+03;4.832633402073176643e-04;-4.236324675511044533e-04
1.000000000000000000e+04;2.380407407490301466e+03;4.553224720688669363e-04;-4.775434345891919224e-04
1.000000000000000000e+04;2.380879778552975495e+03;4.548007294478741158e-04;-4.780395412469394469e-04
1.000000000000000000e+04;2.381333317368606458e+03;4.545508347314143778e-04;-4.787632516636638634e-04
1.000000000000000000e+04;2.420609582147724723e+03;3.985462284883597994e-04;-5.050733101197650262e-04
1.000000000000000000e+04;2.462103761810718424e+03;3.580835418899191470e-04;-5.521176803541807347e-04
1.000000000000000000e+04;2.462812095334672904e+03;3.570369908901595583e-04;-5.523050080179143541e-04
1.000000000000000000e+04;2.463321876974030147e+03;3.562678869560604732e-04;-5.527553912547963997e-04
1.000000000000000000e+04;2.496075313073826692e+03;3.085806040593637575e-04;-5.684998728788451380e-04
1.000000000000000000e+04;2.523126872603419997e+03;2.721865740796980578e-04;-5.959631426976991697e-04
1.000000000000000000e+04;2.527748082366390463e+03;2.652218665054062192e-04;-5.963004810742605260e-04
1.000000000000000000e+04;2.569584439902913346e+03;2.021197994668492829e-04;-6.208619056315405754e-04
1.000000000000000000e+04;2.573057181347121059e+03;1.965718814039444989e-04;-6.206696648141849480e-04
1.000000000000000000e+04;2.618466347886307176e+03;1.238309922781167280e-04;-6.454061898238793327e-04
1.000000000000000000e+04;2.621325882352038661e+03;1.191535217980966497e-04;-6.444324238932517841e-04
1.000000000000000000e+04;2.667289468431302794e+03;4.760203812645567633e-05;-6.564999962190386359e-04
1.000000000000000000e+04;2.669783918479282875e+03;4.370495447493818705e-05;-6.553771152929310827e-04
1.000000000000000000e+04;2.716068929323826524e+03;-3.896956999296539645e-05;-6.564951149880961885e-04
1.000000000000000000e+04;2.718047724214777190e+03;-4.210863449219151127e-05;-6.553725731687471507e-04
1.000000000000000000e+04;2.764946051148658626e+03;-1.144634688009890140e-04;-6.464712678441819713e-04
1.000000000000000000e+04;2.766554329808586772e+03;-1.168608706189774670e-04;-6.448127111197719330e-04
1.000000000000000000e+04;2.813891193899443806e+03;-2.021198515455169958e-04;-6.332547980927605855e-04
1.000000000000000000e+04;2.815479394996732935e+03;-2.042529411609036148e-04;-6.317245840865203183e-04
1.000000000000000000e+04;2.862842350306129902e+03;-2.762243134932941394e-04;-5.923742079620537230e-04
1.000000000000000000e+04;2.864430577964604709e+03;-2.782775783959692546e-04;-5.905015592553179487e-04
1.000000000000000000e+04;2.911793468721099089e+03;-3.551140137651375914e-04;-5.560019520090585862e-04
1.000000000000000000e+04;2.913381701308668653e+03;-3.567692416374032820e-04;-5.536330638347741534e-04
1.000000000000000000e+04;2.960744454387262977e+03;-4.247841983318441025e-04;-5.041359268279139603e-04
1.000000000000000000e+04;2.962332743812954050e+03;-4.261894631626035883e-04;-5.016688641322127615e-04
1.000000000000000000e+04;3.009695388472990089e+03;-4.889068729841880828e-04;-4.402100149065590212e-04
1.000000000000000000e+04;3.011283608839356020e+03;-4.900544360690693843e-04;-4.376390353902067450e-04
1.000000000000000000e+04;3.058646501989342141e+03;-5.426953209829806944e-04;-3.697463622715332541e-04
1.000000000000000000e+04;3.060234557337679689e+03;-5.433354894117437038e-04;-3.667635568627559245e-04
1.000000000000000000e+04;3.107597635895472195e+03;-5.915390978183639528e-04;-2.926114013673241092e-04
1.000000000000000000e+04;3.109185613615975853e+03;-5.918781527627352962e-04;-2.897342983498350593e-04
1.000000000000000000e+04;3.156548707152296629e+03;-6.224586676699714978e-04;-2.053428218714560506e-04
1.000000000000000000e+04;3.158136714129098436e+03;-6.224375033443039443e-04;-2.023207059938653390e-04
1.000000000000000000e+04;3.205499700921529438e+03;-6.451759684297174967e-04;-1.147193764354483751e-04
1.000000000000000000e+04;3.207087740536848742e+03;-6.445891250581928505e-04;-1.117710978491974515e-04
1.000000000000000000e+04;3.254450709579876730e+03;-6.571465413036751144e-04;-1.975770571999970539e-05
1.000000000000000000e+04;3.256038735401048143e+03;-6.561510035524351471e-04;-1.682130599303632271e-05
1.000000000000000000e+04;3.303401778568574628e+03;-6.492841631344770364e-04;7.499609885619487539e-05
1.000000000000000000e+04;3.304989776103889653e+03;-6.480235858252195646e-04;7.781900819212377257e-05
1.000000000000000000e+04;3.352352867094728026e+03;-6.326866732769211195e-04;1.696603706415435783e-04
1.000000000000000000e+04;3.353940861284309449e+03;-6.307389126985819047e-04;1.721331541040378938e-04
1.000000000000000000e+04;3.401303931236804601e+03;-6.002111101994009454e-04;2.664254605509604711e-04
1.000000000000000000e+04;3.402891948676235643e+03;-5.980950819400391574e-04;2.687293952635048098e-04
1.000000000000000000e+04;3.450254959858420534e+03;-5.535427633669927393e-04;3.480561739799936769e-04
